Marca temporal,Correo,"¿Declara que he leído, comprendido y acepto íntegramente las Bases del Concurso...?",Nombres,Apellido paterno,Apellido materno,RUN,Fecha de nacimiento,Género,Correo,Número de contacto,Residencia del emprendedor o el emprendimiento,Provincia de residencia,Comuna de residencia,¿Está participando en un programa similar de formación para emprendedores?,Tipo de emprendimiento,Seleccione la alternativa que corresponda a su caso,"Nombre del emprendimiento, negocio, idea o proyecto",Nombre empresa o razón social,RUT de la empresa,Tipo de empresa,Sector o industria,Tamaño de la empresa,Descripción de mi idea o emprendimiento,Propuesta de valor,¿Ha levantado financiamiento público o privado?,Indique qué financiamiento ha levantado,¿Cree usted que su emprendimiento es innovación?,¿Por qué cree usted que su emprendimiento es innovador?,¿Qué tipo potencial innovador tiene su emprendimiento?,Tipo de innovación,Alcance de la innovación,Indicar el sector o área económica de impacto o interés,¿Qué resultados espera lograr los próximos 3 años para su emprendimiento?,"¿Qué impacto social, económico o ambiental espera generar con su emprendimiento en la región de Ñuble?",¿Cuántas personas conforman su equipo? (Incluyéndose usted),Describa a su equipo,Ingrese el enlace donde podamos ver su video,Contraseña (OPCIONAL)
2026/07/02 10:07:00,postulante1@ejemplo.cl,Sí,Javiera,López,Muñoz,10000137-1,1991-02-11,Femenino,postulante1@ejemplo.cl,+56 9 10000991,Mi emprendimiento y mi residencia son en Ñuble,Punilla,San Nicolás,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Turismo Sur,,,,Turismo,Micro,"Emprendimiento de turismo enfocado en la región de Ñuble, con foco en San Nicolás.",Solución diferenciada en turismo que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Proceso,Internacional,Turismo,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Javiera López (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo1,
2026/07/03 11:14:00,postulante2@ejemplo.cl,Sí,Matías,Espinoza,Díaz,10000274-2,1992-03-12,Masculino,postulante2@ejemplo.cl,+56 9 10001982,Mi emprendimiento y mi residencia son en Ñuble,Punilla,San Nicolás,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,Agroindustria Andes,Agroindustria Andes,76000026-2,Sociedad de Responsabilidad Limitada (Ltda),Agroindustria,Micro,"Emprendimiento de agroindustria enfocado en la región de Ñuble, con foco en San Nicolás.",Solución diferenciada en agroindustria que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Servicio,Regional,Agroindustria,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Matías Espinoza (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo2,
2026/07/04 12:21:00,postulante3@ejemplo.cl,Sí,Daniela,Sepúlveda,Flores,10000411-3,1993-04-13,Femenino,postulante3@ejemplo.cl,+56 9 10002973,Mi emprendimiento y mi residencia son en Ñuble,Itata,Coelemu,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Turismo Norte,,,,Turismo,Micro,"Emprendimiento de turismo enfocado en la región de Ñuble, con foco en Coelemu.",Solución diferenciada en turismo que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Proceso,Regional,Turismo,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Daniela Sepúlveda (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo3,
2026/07/05 13:28:00,postulante4@ejemplo.cl,Sí,Ignacio,Morales,Hernández,10000548-4,1994-05-14,Masculino,postulante4@ejemplo.cl,+56 9 10003964,Mi emprendimiento y mi residencia son en Ñuble,Itata,Portezuelo,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Turismo Norte,,,,Turismo,Micro,"Emprendimiento de turismo enfocado en la región de Ñuble, con foco en Portezuelo.",Solución diferenciada en turismo que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Disruptiva,Servicio,Regional,Turismo,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Ignacio Morales (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo4,
2026/07/06 14:35:00,postulante5@ejemplo.cl,Sí,Felipe,Valenzuela,Rojas,10000685-5,1995-06-15,Masculino,postulante5@ejemplo.cl,+56 9 10004955,Mi emprendimiento y mi residencia son en Ñuble,Punilla,San Nicolás,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Agroindustria Sur,,,,Agroindustria,Micro,"Emprendimiento de agroindustria enfocado en la región de Ñuble, con foco en San Nicolás.",Solución diferenciada en agroindustria que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Marginal,Modelo de negocio,Regional,Agroindustria,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Felipe Valenzuela (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo5,
2026/07/07 15:42:00,postulante6@ejemplo.cl,Sí,Pablo,Torres,Espinoza,10000822-6,1996-07-16,Masculino,postulante6@ejemplo.cl,+56 9 10005946,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,Chillán,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,Agroindustria Bio,Agroindustria Bio,76000078-6,Sociedad por Acciones (SpA),Agroindustria,Micro,"Emprendimiento de agroindustria enfocado en la región de Ñuble, con foco en Chillán.",Solución diferenciada en agroindustria que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Marginal,Servicio,Nacional,Agroindustria,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Pablo Torres (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo6,
2026/07/08 16:49:00,postulante7@ejemplo.cl,Sí,Tomás,González,Hernández,10000959-7,1997-08-17,Masculino,postulante7@ejemplo.cl,+56 9 10006937,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,Chillán Viejo,"No, es el único programa al que he postulado",Formalizado,Mi emprendimiento está formalizado ante el SII hace menos de 12 meses y no ha generado ventas,Alimentos Lab,Alimentos Lab,76000091-7,Sociedad de Responsabilidad Limitada (Ltda),Alimentos,Micro,"Emprendimiento de alimentos enfocado en la región de Ñuble, con foco en Chillán Viejo.",Solución diferenciada en alimentos que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Producto,Regional,Alimentos,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Tomás González (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo7,
2026/07/09 9:56:00,postulante8@ejemplo.cl,Sí,Carla,Martínez,Pérez,10001096-8,1998-09-18,Femenino,postulante8@ejemplo.cl,+56 9 10007928,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,Yungay,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",AlimentosÑuble Andes,,,,Alimentos,Micro,"Emprendimiento de alimentos enfocado en la región de Ñuble, con foco en Yungay.",Solución diferenciada en alimentos que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Proceso,Regional,Alimentos,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,1,"Carla Martínez (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo8,
2026/07/10 10:03:00,postulante9@ejemplo.cl,Sí,Matías,Torres,Espinoza,10001233-9,1990-01-10,Masculino,postulante9@ejemplo.cl,+56 9 10008919,Mi emprendimiento y mi residencia son en Ñuble,Punilla,Ñiquén,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Salud Plus,,,,Salud,Micro,"Emprendimiento de salud enfocado en la región de Ñuble, con foco en Ñiquén.",Solución diferenciada en salud que resuelve un problema local concreto.,No,,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Disruptiva,Producto,Nacional,Salud,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,2,"Matías Torres (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo9,
2026/07/11 11:10:00,postulante10@ejemplo.cl,Sí,Andrés,López,López,10001370-0,1991-02-11,Masculino,postulante10@ejemplo.cl,+56 9 10009910,Mi emprendimiento y mi residencia son en Ñuble,Diguillín,Quillón,"No, es el único programa al que he postulado",Idea,"Mi proyecto es solo una idea, me gustaría concretarlo",Alimentos Sur,,,,Alimentos,Micro,"Emprendimiento de alimentos enfocado en la región de Ñuble, con foco en Quillón.",Solución diferenciada en alimentos que resuelve un problema local concreto.,Sí,Capital Semilla CORFO,Sí,Porque incorpora un proceso o modelo distinto al existente en la región.,Incremental,Modelo de negocio,Regional,Alimentos,Duplicar ventas cada 3 años y expandirse a nuevas comunas de la región.,Generación de empleo local y dinamización económica regional.,3,"Andrés López (fundador/a), a cargo de la estrategia y desarrollo del proyecto.",https://youtu.be/ejemplo10,
